dataset,predictor,group,target_lof_sens,threshold,lof_sens,gof_sens,gap,ci_lo,ci_hi,n_lof,n_gof,n_distinct,sens_overshoot,usable
Hopkins,PrimateAI,population deep learning,40.0,0.91203,40.909090909090914,32.30769230769231,8.601398601398602,-9.907342657342655,22.424242424242426,66,65,131,0.9090909090909136,True
Hopkins,MPC,regional constraint,40.0,0.92732,40.909090909090914,20.0,20.90909090909091,3.9860139860139867,34.709207459207455,66,65,123,0.9090909090909136,True
Hopkins,REVEL,supervised ensemble,40.0,0.9899,40.909090909090914,27.692307692307693,13.216783216783218,-0.6293706293706292,25.501165501165502,66,65,103,0.9090909090909136,True
Hopkins,VEST4,supervised ensemble,40.0,0.9775,42.42424242424242,20.0,22.424242424242426,3.9860139860139867,31.655011655011656,66,65,97,2.424242424242422,False
Hopkins,MetaRNN,supervised ensemble,40.0,0.99024,40.909090909090914,21.53846153846154,19.370629370629374,3.985431235431236,33.193473193473196,66,65,129,0.9090909090909136,True
Hopkins,ClinPred,supervised ensemble,40.0,0.91791,40.909090909090914,32.30769230769231,8.601398601398602,-3.7062937062937062,27.062937062937063,66,65,125,0.9090909090909136,True
Hopkins,AlphaMissense,structure + frequency,40.0,0.9012,40.909090909090914,12.307692307692308,28.601398601398603,14.755244755244757,36.29370629370629,66,65,128,0.9090909090909136,True
De Franco (novel),PROVEAN,conservation only,40.0,0.83251,40.06849315068493,25.161290322580644,14.907202828104287,5.868371630578879,22.346442775077332,292,155,331,0.06849315068492956,True
De Franco (novel),SIFT4G,conservation only,40.0,0.83351,42.12328767123288,20.64516129032258,21.478126380910297,15.118150684931505,30.90847326557667,292,155,124,2.1232876712328803,False
De Franco (novel),LRT,conservation only,40.0,0.8433,65.75342465753424,76.77419354838709,-11.02076889085285,-19.72602739726028,-2.352684489615562,292,155,39,25.75342465753424,False
De Franco (novel),PrimateAI,population deep learning,40.0,0.873278,40.06849315068493,47.096774193548384,-7.028281042863455,-16.060539107379583,2.649138311975252,292,155,441,0.06849315068492956,True
De Franco (novel),MPC,regional constraint,40.0,0.890116,40.06849315068493,40.0,0.06849315068492845,-7.673442333186037,10.733539549270882,292,155,404,0.06849315068492956,True
De Franco (novel),REVEL,supervised ensemble,40.0,0.98672,40.41095890410959,23.870967741935484,16.539991162174104,6.520106053910735,23.939460892620414,292,155,261,0.41095890410959157,True
De Franco (novel),VEST4,supervised ensemble,40.0,0.97273,40.06849315068493,21.935483870967744,18.13300927971719,7.15769995581087,26.862571807335396,292,155,226,0.06849315068492956,True
De Franco (novel),MetaRNN,supervised ensemble,40.0,0.96858,40.06849315068493,24.516129032258064,15.552364118426867,8.14532699955811,24.281926646045076,292,155,437,0.06849315068492956,True
De Franco (novel),ClinPred,supervised ensemble,40.0,0.910602,40.06849315068493,23.225806451612904,16.842686699072026,9.520768890852851,24.927087936367652,292,155,403,0.06849315068492956,True
De Franco (novel),AlphaMissense,structure + frequency,40.0,0.90398,40.06849315068493,25.161290322580644,14.907202828104287,4.281926646045076,23.33406981882457,292,155,380,0.06849315068492956,True
ALL,PROVEAN,conservation only,40.0,0.833834,39.94413407821229,25.0,14.94413407821229,8.125952260030472,20.855827831386478,358,220,401,-0.055865921787713546,True
ALL,SIFT4G,conservation only,40.0,0.83351,45.2513966480447,23.18181818181818,22.069578466226513,14.801929913661754,29.92889791772473,358,220,149,5.251396648044697,False
ALL,LRT,conservation only,40.0,0.8433,66.75977653631286,76.81818181818181,-10.058405281868964,-17.359192483494155,-2.613763331640437,358,220,46,26.759776536312856,False
ALL,PrimateAI,population deep learning,40.0,0.881774,39.94413407821229,45.45454545454545,-5.510411376333163,-14.1467750126968,2.6714068054850157,358,220,569,-0.055865921787713546,True
ALL,MPC,regional constraint,40.0,0.899968,39.94413407821229,36.81818181818181,3.1259522600304734,-5.68562722194007,13.580497714575928,358,220,499,-0.055865921787713546,True
ALL,REVEL,supervised ensemble,40.0,0.98744,40.78212290502793,25.90909090909091,14.873031995937025,7.496190959878113,21.31037328593193,358,220,288,0.7821229050279328,True
ALL,VEST4,supervised ensemble,40.0,0.97317,41.06145251396648,21.818181818181817,19.243270695784663,9.035043169121382,25.782122905027936,358,220,249,1.0614525139664792,True
ALL,MetaRNN,supervised ensemble,40.0,0.9730019999999999,39.94413407821229,26.36363636363636,13.580497714575928,6.307770441848653,19.94413407821229,358,220,562,-0.055865921787713546,True
ALL,ClinPred,supervised ensemble,40.0,0.914108,39.94413407821229,25.454545454545453,14.489588623666839,7.946356018283392,21.587100050787203,358,220,499,-0.055865921787713546,True
