scheme,control,n_benign,tool,mech,n_disease,tier,cutoff,sens,spec,spec_lo,spec_hi,fp,lr,lr_lo,lr_hi,lr_ceiling,lr_required
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,LoF,202,Moderate,0.74,0.6683168316831684,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,8.688118811881195,1.3183025002775963,57.25803332199497,13.0,4.3
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,LoF,202,Strong,0.89,0.5099009900990099,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,6.628712871287133,1.0034622926320633,43.788226675378425,13.0,18.7
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,GoF,45,Supporting,0.564,0.6444444444444445,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,8.377777777777784,1.2586137472793615,55.76544880869518,13.0,2.08
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,GoF,45,Moderate,0.74,0.5555555555555556,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,7.222222222222228,1.0789717014176785,48.34278207540202,13.0,4.3
v26 (as submitted),ClinVar 3-star benign (as submitted),13,AM,GoF,45,Strong,0.89,0.37777777777777777,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,4.911111111111114,0.7199468545221165,33.501101080146626,13.0,18.7
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Supporting,0.644,0.9570552147239264,0.6923076923076923,0.4236888781333764,0.8731950283838191,4,3.1104294478527605,1.3753431977545505,7.034441560379339,3.25,2.08
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Moderate,0.773,0.901840490797546,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,11.723926380368106,1.7821912742186508,77.12440957413637,13.0,4.3
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,LoF,163,Strong,0.932,0.4723926380368098,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,6.141104294478532,0.9276703975231568,40.653622295543016,13.0,18.7
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Supporting,0.644,0.9534883720930233,0.6923076923076923,0.4236888781333764,0.8731950283838191,4,3.0988372093023253,1.3674527872532523,7.022393854668553,3.25,2.08
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Moderate,0.773,0.7906976744186046,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,10.279069767441866,1.5538472328937405,67.99849627892144,13.0,4.3
v26 (as submitted),ClinVar 3-star benign (as submitted),13,REVEL,GoF,43,Strong,0.932,0.3953488372093023,0.9230769230769231,0.6668546607175265,0.9862899336203037,1,5.139534883720933,0.7542124023679861,35.02305018858116,13.0,18.7
v26 (as submitted),gnomAD AF>=1e-4,37,AM,LoF,202,Supporting,0.564,0.7524752475247525,0.8918918918918919,0.7529115358483284,0.9571487947949374,4,6.96039603960396,2.749311651392281,17.62154283367633,9.25,2.08
v26 (as submitted),gnomAD AF>=1e-4,37,AM,LoF,202,Moderate,0.74,0.6683168316831684,0.918918918918919,0.7869900750149847,0.9720399336036787,3,8.242574257425748,2.773777095732002,24.49368786472303,12.333333333333334,4.3
v26 (as submitted),gnomAD AF>=1e-4,37,AM,LoF,202,Strong,0.89,0.5099009900990099,0.9459459459459459,0.822950349364601,0.9850493372294601,2,9.433168316831683,2.433954266001345,36.55971097594482,18.5,18.7
v26 (as submitted),gnomAD AF>=1e-4,37,AM,GoF,45,Supporting,0.564,0.6444444444444445,0.8918918918918919,0.7529115358483284,0.9571487947949374,4,5.961111111111111,2.3039837680742115,15.423218761959511,9.25,2.08
v26 (as submitted),gnomAD AF>=1e-4,37,AM,GoF,45,Moderate,0.74,0.5555555555555556,0.918918918918919,0.7869900750149847,0.9720399336036787,3,6.8518518518518565,2.245038440339256,20.911835163335226,12.333333333333334,4.3
v26 (as submitted),gnomAD AF>=1e-4,37,AM,GoF,45,Strong,0.89,0.37777777777777777,0.9459459459459459,0.822950349364601,0.9850493372294601,2,6.988888888888888,1.7249290872740672,28.31685560965547,18.5,18.7
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,LoF,163,Supporting,0.644,0.9570552147239264,0.7619047619047619,0.6147216491768113,0.8651917918898182,10,4.01963190184049,2.337781584059689,6.911441486434969,4.2,2.08
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,LoF,163,Moderate,0.773,0.901840490797546,0.9047619047619048,0.7793460477494668,0.9623383611716879,4,9.469325153374234,3.7229514953030476,24.08522350437633,10.5,4.3
v26 (as submitted),gnomAD AF>=1e-4,42,REVEL,LoF,163,Strong,0.932,0.4723926380368098,0.9523809523809523,0.8420986468452026,0.9868427513607937,2,9.920245398772995,2.5404797845356155,38.73727686042807,21.0,18.7
